"id","e","n"
"117506","1202669.95","7173569.127"
"117505","1202669.95","7173542.031"
"117484","1202640.25","7173569.125"
"117473","1202640.25","7173948.513"
"117535","1202699.65","7173809.618"
"117536","1202699.65","7173844.294"
"117537","1202699.65","7173871.391"
"117538","1202729.35","7173921.42"
"117539","1202729.35","7173948.509"
"117540","1202729.35","7173983.196"
"117541","1202729.35","7174017.874"
"117542","1202729.35","7174052.552"
"117543","1202729.35","7174086.1"
"117544","1202729.35","7174119.658"
"117545","1202729.35","7174154.336"
"117546","1202729.35","7174189.014"
"117547","1202729.35","7174223.701"
"117548","1202729.35","7174250.79"
"117549","1202729.35","7173542.032"
"117551","1202729.35","7173603.804"
"117552","1202729.35","7173638.479"
"117553","1202729.35","7173673.164"
"117554","1202729.35","7173706.71"
"117555","1202729.35","7173740.256"
"117556","1202729.35","7173774.931"
"117557","1202729.35","7173809.616"
"117558","1202729.35","7173844.292"
"117559","1202729.35","7173871.388"
"117560","1202759.05","7173921.41"
"117561","1202759.05","7173948.5"
"117562","1202759.05","7173983.19"
"117563","1202759.05","7174017.87"
"117564","1202759.05","7174052.55"
"117565","1202759.05","7174086.1"
"117566","1202759.05","7174119.66"
"117567","1202759.05","7174154.34"
"117568","1202759.05","7174189.02"
"117569","1202759.05","7174223.71"
"117570","1202759.05","7174250.8"
"117571","1202759.05","7173542.033"
"117573","1202759.05","7173603.804"
"117574","1202759.05","7173638.48"
"117575","1202759.05","7173673.165"
"117576","1202759.05","7173706.71"
"117577","1202759.05","7173740.255"
"117578","1202759.05","7173774.93"
"117579","1202759.05","7173809.616"
"117580","1202759.05","7173844.291"
"117581","1202759.05","7173871.387"
"117582","1202788.75","7173921.41"
"117583","1202788.75","7173948.5"
"117584","1202788.75","7173983.19"
"117585","1202788.75","7174017.87"
"117586","1202788.75","7174052.55"
"117587","1202788.75","7174086.1"
"117588","1202788.75","7174119.66"
"117589","1202788.75","7174154.34"
"117590","1202788.75","7174189.02"
"117591","1202788.75","7174223.71"
"117592","1202788.75","7174250.8"
"117593","1202788.75","7173542.024"
"117595","1202788.75","7173603.799"
"117596","1202788.75","7173638.476"
"117597","1202788.75","7173673.163"
"117598","1202788.75","7173706.71"
"117572","1202759.05","7173569.129"
"117550","1202729.35","7173569.128"
"117600","1202788.75","7173774.934"
"117601","1202788.75","7173809.621"
"117602","1202788.75","7173844.298"
"117603","1202788.75","7173871.396"
"117604","1202818.45","7173921.41"
"117605","1202818.45","7173948.5"
"117606","1202818.45","7173983.19"
"117607","1202818.45","7174017.87"
"117608","1202818.45","7174052.55"
"117609","1202818.45","7174086.1"
"117610","1202818.45","7174119.66"
"117611","1202818.45","7174154.34"
"117612","1202818.45","7174189.02"
"117613","1202818.45","7174223.71"
"117614","1202818.45","7174250.8"
"117615","1202818.45","7173542.024"
"117617","1202818.45","7173603.798"
"117618","1202818.45","7173638.476"
"117619","1202818.45","7173673.163"
"117620","1202818.45","7173706.71"
"117621","1202818.45","7173740.257"
"117622","1202818.45","7173774.934"
"117623","1202818.45","7173809.622"
"117624","1202818.45","7173844.299"
"117625","1202818.45","7173871.396"
"117626","1202848.15","7173921.41"
"117627","1202848.15","7173948.5"
"117628","1202848.15","7173983.19"
"117629","1202848.15","7174017.87"
"117630","1202848.15","7174052.55"
"117631","1202848.15","7174086.1"
"117632","1202848.15","7174119.66"
"117633","1202848.15","7174154.34"
"117634","1202848.15","7174189.02"
"117635","1202848.15","7174223.71"
"117636","1202848.15","7174250.8"
"117637","1202848.15","7173542.019"
"117639","1202848.15","7173603.796"
"117640","1202848.15","7173638.474"
"117641","1202848.15","7173673.162"
"117642","1202848.15","7173706.71"
"117643","1202848.15","7173740.258"
